Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,729.3037,Branch_Insulation,0CFFB6F3,00FFB6,F3,--,Extend,Data frm,08,10 27 10 27 00 00 00 00 ,,
,BMS_SOC_JumpAlarm_1,0,No Fault,,0,2,1,1,0,,
,Precharge_Flt,0,No Fault,,0,3,2,1,0,,
,Insulation_Low_Flt,0,No Fault,,0,5,2,1,0,,
,VCU_BMS_CRC_Flt,0,No Fault,,0,7,1,1,0,,
,BMS_Hardware_fault,0,No Fault,,0,10,2,1,0,,
,Thermal_Runaway_Flt,0,No Fault,,0,16,3,1,0,,
,Total_Volt_diff_branch_flt,0,No Fault,,0,19,2,1,0,,
,Over_PCB_Temperature_fault_1,0,No Fault,,0,23,1,1,0,,
,Pack_CHG1Volt_Sampling_flt,0,No Fault,,0,26,2,1,0,,
,Pack_CHG2Volt_Sampling_flt,0,No Fault,,0,28,2,1,0,,
,BMS_ChrgOverCurrAlarm,0,No Fault,,0,30,2,1,0,,
,Regen_OverCurr_Alarm,0,No Fault,,0,32,2,1,0,,
,OverDischCurr_Alarm,0,No Fault,,0,34,2,1,0,,
,Master_Power_Supply_Low_Alarm,0,No Fault,,0,36,2,1,0,,
,Master_Power_Supply_Hi_Alarm,0,No Fault,,0,38,2,1,0,,
,Pack_LinkVoltV2_Sampling_flt,0,No Fault,,0,42,2,1,0,,
,Pack_LinkVoltV3_Sampling_flt,0,No Fault,,0,44,2,1,0,,
,Pack_CHG1_VoltPos_Sampling_flt,0,No Fault,,0,46,2,1,0,,
,Pack_CHG2_VoltPos_Sampling_flt,0,No Fault,,0,48,2,1,0,,
,KeyLost_Alarm,0,No Fault,,0,50,2,1,0,,
,SOC_Low_Alarm,0,No Fault,,0,52,1,1,0,,
,Low_SOH_Alarm,0,No Fault,PACK+电压采集异常,0,53,1,1,0,,
,Counter,4,--,,4,56,4,1,0,,
,CRC,0,--,,0,60,4,1,0,,
9,Receive,729.2941,BMS_CHG_Request_Parameter,0CFF48F3,00FF48,F3,--,Extend,Data frm,08,00 00 00 00 5E 64 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_DCChrgCurrReq,0,--,,0,0,16,0.1,0,,
,BMS_DCChrgVoltReq,0,--,,0,16,16,0.1,0,,
,BMS_displaySOC,21,--,,2A,32,8,0.5,0,,
,BMS_realSOC,25,--,,32,40,8,0.5,0,,
,Time_to_Charge,0min,--,,0,48,16,1,0,,
10,Receive,729.2944,BMS_Pack_Flt3,0CFF82F3,00FF82,F3,--,Extend,Data frm,08,00 B0 24 30 9C 00 00 04 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Pack_Lockout,0,No Fault,,0,0,1,1,0,,
,Branch2_Pack_Lockout,0,No Fault,,0,1,1,1,0,,
,Pack1_fault_log,0,No Fault,,0,3,1,1,0,,
,Pack2_fault_log,0,No Fault,,0,4,1,1,0,,
,Pack3_fault_log,0,No Fault,,0,5,1,1,0,,
,Pack4_fault_log,0,No Fault,,0,6,1,1,0,,
,KWh_Remain,150,--,,96,11,9,1,0,,
,Fault_Rank,2,Second Fault Level,,2,20,3,1,0,,
,ExtE2P_readwrite_fail_Alarm,0,No Fault,,0,23,1,1,0,,
,Fault_number,48-,--,,30,24,8,1,0,,
,Cumulative_battery_usage,156kwh,--,,9C,32,24,1,0,,
,Counter,4,--,,4,56,4,1,0,,
,CRC,0,--,,0,60,4,1,0,,
11,Receive,729.2947,BMS_Pack_Flt2,0CFF83F3,00FF83,F3,--,Extend,Data frm,08,00 00 00 00 80 00 00 54 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,CHG1_Neg_Contactor_Open_Flt,0,No Fault,,0,0,2,1,0,,
,CHG1_Neg_Contactor_Weld_Flt,0,No Fault,,0,2,2,1,0,,
,CHG2_Neg_Contactor_Open_Flt,0,No Fault,,0,4,2,1,0,,
,CHG2_Neg_Contactor_Weld_Flt,0,No Fault,,0,6,2,1,0,,
,HVIL_Alarm,0,No Fault,,0,8,2,1,0,,
,Pos_Contactor_Open_Flt,0,No Fault,,0,10,2,1,0,,
,Pos_Contactor_Weld_Flt,0,No Fault,,0,12,2,1,0,,
,Neg_Contactor_Open_Flt,0,No Fault,,0,14,2,1,0,,
,Neg_Contactor_Weld_Flt,0,No Fault,,0,16,2,1,0,,
,BAT1_Pos_Contactor_Open_Flt,0,No Fault,,0,18,2,1,0,,
,BAT1_Pos_Contactor_Weld_Flt,0,No Fault,,0,20,2,1,0,,
,BAT2_Pos_Contactor_Open_Flt,0,No Fault,,0,22,2,1,0,,
,BAT2_Pos_Contactor_Weld_Flt,0,No Fault,,0,24,2,1,0,,
,CHG1_Pos_Contactor_Open_Flt,0,No Fault,,0,30,2,1,0,,
,CHG1_Pos_Contactor_Weld_Flt,0,No Fault,,0,32,2,1,0,,
,CHG2_Pos_Contactor_Open_Flt,0,No Fault,,0,34,2,1,0,,
,CHG2_Pos_Contactor_Weld_Flt,0,No Fault,,0,36,2,1,0,,
,VCU_BMS_Comm_Flt,2,--,,2,38,2,1,0,,
,CAN_busoff_Failure,0,No Fault,,0,40,2,1,0,,
,Crash_Fault,0,No Fault,,0,42,1,1,0,,
,Crash_Wire_Open_Fault,0,No Fault,,0,43,2,1,0,,
,Current_mismatch_in_branch,0,No Fault,,0,48,2,1,0,,
,Busbar_Over_temperature,0,No Fault,,0,50,2,1,0,,
,Short_circuit_3,0,No Fault,,0,52,2,1,0,,
,Counter,4,--,,4,56,4,1,0,,
,CRC,5,--,,5,60,4,1,0,,
12,Receive,729.2950,Branch1_Fault,0CFFAEF3,00FFAE,F3,--,Extend,Data frm,08,00 00 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Fault_Rank,0,No Fault,,0,0,3,1,0,,
,Branch1_CellOV_alarm,0,No Fault,,0,3,2,1,0,,
,Branch1_CellUV_alarm,0,No Fault,,0,5,3,1,0,,
,Branch1_CellVoltDiffOver_Alarm,0,No Fault,,0,8,2,1,0,,
,Branch1_OV_alarm,0,No Fault,,0,10,2,1,0,,
,Branch1_UV_alarm,0,No Fault,,0,12,2,1,0,,
,Branch1_CellTempHigh_alarm,0,No Fault,,0,14,2,1,0,,
,Branch1_CellTempLow_alarm,0,No Fault,,0,16,2,1,0,,
,Branch1_CellTempDiffOver_alrm,0,No Fault,,0,18,2,1,0,,
,Branch1_CellTempSampling_Alarm,0,No Fault,,0,20,2,1,0,,
,Branch1_CellVoltSampling_Alarm,0,No Fault,,0,22,2,1,0,,
,Branch1_VoltageSampling_Alarm,0,No Fault,,0,24,2,1,0,,
,Pack1_Slave_Comm_Loss_Flt,0,No Fault,,0,26,2,1,0,,
,Pack2_Slave_Comm_Loss_Flt,0,No Fault,,0,28,2,1,0,,
,Pack1_SlavePCB_OverTemp,0,No Fault,,0,30,1,1,0,,
,Pack2_SlavePCB_OverTemp,0,No Fault,,0,31,1,1,0,,
,Branch1_SOC_Low_Alarm,0,No Fault,,0,32,1,1,0,,
,Branch1_SOC_Jump_Alarm,0,No Fault,,0,33,1,1,0,,
,Branch1_SOH_Low_Alarm,0,No Fault,,0,34,1,1,0,,
,Branch1_CurrentSensorHW_Fault,0,No Fault,,0,35,2,1,0,,
,Branch1_CurrentSensorComm_Fault,0,No Fault,,0,37,2,1,0,,
,Pack1_Slave_BMS_HW_fault,0,No Fault,,0,40,2,1,0,,
,Pack2_Slave_BMS_HW_fault,0,No Fault,,0,42,2,1,0,,
,Pack1_CellBalancing_HW_fault,0,No Fault,,0,44,2,1,0,,
,Pack2_CellBalancing_HW_fault,0,No Fault,,0,46,2,1,0,,
,Pack1_SmokeSensorComm_flt,0,No Fault,,0,48,2,1,0,,
,Pack2_SmokeSensorComm_flt,0,No Fault,,0,50,2,1,0,,
,Pack1_SmokeSensorHW_flt,0,No Fault,,0,52,2,1,0,,
,Pack2_SmokeSensorHW_flt,0,No Fault,,0,54,2,1,0,,
,Pack1_Thermal_Runaway_Flt,0,No Fault,,0,56,2,1,0,,
,Pack2_Thermal_Runaway_Flt,0,No Fault,,0,58,2,1,0,,
,Pack1_CoolantLeakSensor_Fault,0-,--,,0,60,1,1,0,,
,Pack2_CoolantLeakSensor_Fault,0,No Fault,,0,61,1,1,0,,
,Coolant_Leakage_FaultPack1,0,--,,0,62,1,1,0,,
,Coolant_Leakage_FaultPack2,0,--,,0,63,1,1,0,,
13,Receive,729.2953,Branch2_Fault,0CFFAFF3,00FFAF,F3,--,Extend,Data frm,08,00 00 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch2_Fault_Rank,0-,--,,0,0,3,1,0,,
,Branch2_CellOV_alarm,0-,--,,0,3,2,1,0,,
,Branch2_CellUV_alarm,0-,--,,0,5,3,1,0,,
,Branch2_CellVoltDiffOver_Alarm,0-,--,,0,8,2,1,0,,
,Branch2_OV_alarm,0-,--,,0,10,2,1,0,,
,Branch2_UV_alarm,0-,--,,0,12,2,1,0,,
,Branch2_CellTempHigh_alarm,0-,--,,0,14,2,1,0,,
,Branch2_CellTempLow_alarm,0-,--,,0,16,2,1,0,,
,Branch2_CellTempDiffOver_alrm,0-,--,,0,18,2,1,0,,
,Branch2_CellTempSampling_Alarm,0-,--,,0,20,2,1,0,,
,Branch2_CellVoltSampling_Alarm,0-,--,,0,22,2,1,0,,
,Branch2_VoltageSampling_Alarm,0-,--,,0,24,2,1,0,,
,Pack3_Slave_Comm_Loss_Flt,0-,--,,0,26,2,1,0,,
,Pack4_Slave_Comm_Loss_Flt,0-,--,,0,28,2,1,0,,
,Pack3_SlavePCB_OverTemp,0-,--,,0,30,1,1,0,,
,Pack4_SlavePCB_OverTemp,0-,--,,0,31,1,1,0,,
,Branch2_SOC_Low_Alarm,0-,--,,0,32,1,1,0,,
,Branch2_SOC_Jump_Alarm,0-,--,,0,33,1,1,0,,
,Branch2_SOH_Low_Alarm,0-,--,,0,34,1,1,0,,
,Branch2_CurrentSensorHW_Fault,0-,--,,0,35,2,1,0,,
,Branch2_CurrentSensorComm_Fault,0-,--,,0,37,2,1,0,,
,Pack3_Slave_BMS_HW_fault,0-,--,,0,40,2,1,0,,
,Pack4_Slave_BMS_HW_fault,0-,--,,0,42,2,1,0,,
,Pack3_CellBalancing_HW_fault,0-,--,,0,44,2,1,0,,
,Pack4_CellBalancing_HW_fault,0-,--,,0,46,2,1,0,,
,Pack3_SmokeSensorComm_flt,0-,--,,0,48,2,1,0,,
,Pack4_SmokeSensorComm_flt,0-,--,,0,50,2,1,0,,
,Pack3_SmokeSensorHW_flt,0-,--,,0,52,2,1,0,,
,Pack4_SmokeSensorHW_flt,0-,--,,0,54,2,1,0,,
,Pack3_Thermal_Runaway_Flt,0-,--,,0,56,2,1,0,,
,Pack4_Thermal_Runaway_Flt,0-,--,,0,58,2,1,0,,
,Pack3_CoolantLeakSensor_Fault,0-,--,,0,60,1,1,0,,
,Pack4_CoolantLeakSensor_Fault,0-,--,,0,61,1,1,0,,
,Coolant_Leakage_FaultPack3,0,--,,0,62,1,1,0,,
,Coolant_Leakage_FaultPack4,0,--,,0,63,1,1,0,,
14,Receive,729.2955,Branch1_MaxMin_CellVolatge,0CFFB3F3,00FFB3,F3,--,Extend,Data frm,08,E9 AC 9C 49 04 0C 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Max_CellVolt,3.305volts,--,,CE9,0,13,0.001,0,,
,Branch1_Min_CellVolt,3.301volts,--,,CE5,13,13,0.001,0,,
,Branch1_Max_CellVolt_No,18-,--,,12,26,8,1,0,,
,Branch1_Min_CellVolt_No,1-,--,,1,34,8,1,0,,
,Branch1_CellVoltage_differnce,0.003volts,--,,3,42,12,0.001,0,,
,Branch1_Balancing_Flag,0,OFF,,0,54,1,1,0,,
15,Receive,729.2958,Branch2_MaxMin_CellVolatge,0CFFB4F3,00FFB4,F3,--,Extend,Data frm,08,E9 AC 9C 09 04 0C 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch2_Max_CellVolt,3.305volts,--,,CE9,0,13,0.001,0,,
,Branch2_Min_CellVolt,3.301volts,--,,CE5,13,13,0.001,0,,
,Branch2_Max_CellVolt_No,2-,--,,2,26,8,1,0,,
,Branch2_Min_CellVolt_No,1-,--,,1,34,8,1,0,,
,Branch2_CellVoltage_differnce,0.003volts,--,,3,42,12,0.001,0,,
,Branch2_Balancing_Flag,0-,--,,0,54,1,1,0,,
16,Receive,729.1438,BMS_Pack_Data3,0CFF47F3,00FF47,F3,--,Extend,Data frm,08,58 1A 5A 1A 03 00 04 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Battery_Voltage,674.4000000000001,--,,1A58,0,16,0.1,0,,
,LINK_Voltage,674.6,--,,1A5A,16,16,0.1,0,,
,CHG1_Voltage,0.3,--,,3,32,16,0.1,0,,
,CHG2_Voltage,0.4,--,,4,48,16,0.1,0,,
17,Receive,728.8944,BMS2_Others_temperature,0CFF4EF3,00FF4E,F3,--,Extend,Data frm,08,5A 1A 97 06 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_total_Volt,674.6Volt,--,,1A5A,0,14,0.1,0,,
,Branch2_total_Volt,674.8000000000001Volt,--,,1A5C,14,14,0.1,0,,
,Branch1_Aux_cont_voltage,0V,--,,0,42,7,0.01,0,,
,Branch2_Aux_cont_voltage,0V,--,,0,49,7,0.01,0,,
18,Receive,728.9045,BMS_Pack_Data1,0CFF85F3,00FF85,F3,--,Extend,Data frm,08,E9 AC 9C 49 40 00 00 40 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Max_Cell_Volt,3.305,--,,CE9,0,13,0.001,0,,
,Min_Cell_Volt,3.301,--,,CE5,13,13,0.001,0,,
,Max_Cell_Volt_No,18,--,,12,26,12,1,0,,
,Min_Cell_Volt_No,1,--,,1,38,12,1,0,,
,SOC_Calibration_flag,0,Not calibration,,0,50,1,1,0,,
,Balancing_Enabled_Flag,0,OFF,,0,51,1,1,0,,
,Counter,0,--,,0,56,4,1,0,,
,CRC,4,--,,4,60,4,1,0,,
19,Receive,729.1441,BMS_Pack_Data4,0CFF86F3,00FF86,F3,--,Extend,Data frm,08,51 4D 8B 40 40 9C 20 4E ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Max_Cell_Temp,41,--,,51,0,8,1,-40,,
,Min_Cell_Temp,37,--,,4D,8,8,1,-40,,
,Max_Temp_No,11,--,,B,16,6,1,0,,
,Min_Temp_No,2,--,,2,22,6,1,0,,
,OverallTmax_OverallTmin,4DegC,--,,4,28,6,1,0,,
,PACKPos_Insulation_Value,10000kOhm,--,,2710,34,15,1,0,,
,PACKNeg_Insulation_Value,10000kOhm,--,,2710,49,15,1,0,,
20,Receive,728.8958,BMS_Pack_Data2,0CFF87F3,00FF87,F3,--,Extend,Data frm,08,55 5A 95 06 00 A0 03 C8 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Volt,674.1,--,,1A55,0,14,0.1,0,,
,Branch2_Volt,674.1,--,,1A55,14,14,0.1,0,,
,LV_Power_Supply,23.1,--,,E7,42,14,0.1,0,,
,SOH_Value,100,--,,C8,56,8,0.5,0,,
21,Receive,728.8961,BMS_Pack_TimeToFaults,0CFF8FF3,00FF8F,F3,--,Extend,Data frm,08,14 14 14 05 0A 8A 02 10 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Time_RegCur_fault,20Sec,--,,14,0,8,1,0,,
,Time_ChrgCur_fault,20SEC,--,,14,8,8,1,0,,
,Time_DisChrgCur_fault,20Sec,--,,14,16,8,1,0,,
,A_Sec_to_CC_flt_2,5,--,,5,24,8,1,0,,
,A_Sec_to_CC_flt_3,10,--,,A,32,8,1,0,,
,Time_SyS_level3,10,--,,A,40,6,1,0,,
,Time_to_packlockout,10,--,,A,46,6,1,0,,
,A_BMS_Counter_CFF8FF3,7,--,,7,56,4,1,0,,
,A_BMS_CRC_CFF8FF3,1,--,,1,60,4,1,0,,
22,Receive,728.8970,BMS1_Inlet_outlet_temperature,18FF4AF3,00FF4A,F3,--,Extend,Data frm,08,4A 4A 4A 4B 4A 4B 4B 4B ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Coolant_Temp_In1,34,--,,4A,0,8,1,-40,,
,Coolant_Temp_Out1,34,--,,4A,8,8,1,-40,,
,Coolant_Temp_In2,34,--,,4A,16,8,1,-40,,
,Coolant_Temp_Out2,35,--,,4B,24,8,1,-40,,
,Coolant_Temp_In3,34,--,,4A,32,8,1,-40,,
,Coolant_Temp_Out3,35,--,,4B,40,8,1,-40,,
,Coolant_Temp_In4,35,--,,4B,48,8,1,-40,,
,Coolant_Temp_Out4,35,--,,4B,56,8,1,-40,,
23,Receive,728.8973,BMS2_Inlet_outlet_temperature,18FF4CF3,00FF4C,F3,--,Extend,Data frm,08,00 00 00 00 4C 4A 64 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TemperaturePDUinternalcopperbar1,36,--,,4C,32,8,1,-40,,
,TemperaturePDUinternalcopperbar2,34,--,,4A,40,8,1,-40,,
,TmaxBranch1_TminBranch1,4DegC,--,,4,48,5,1,0,,
,TmaxBranch2_TminBranch2,3DegC,--,,3,53,5,1,0,,
24,Send,--,EleTestCtrl,0CFF0001,00FF00,01,--,Extend,Data frm,08,0D 06 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EleTestCtrlFlag,1,开始电测,,1,0,2,1,0,,
,BAT1PosRelay_Control,-1,闭合继电器,,1,2,1,1,0,,
,BAT2PosRelay_Control,-1,闭合继电器,,1,3,1,1,0,,
,CHG1NegRelay_Control,0,断开继电器,,0,5,1,1,0,,
,CHG1PosRelay_Control,0,断开继电器,,0,6,1,1,0,,
,CHG2NegRelay_Control,0,断开继电器,,0,7,1,1,0,,
,CHG2PosRelay_Control,0,断开继电器,,0,8,1,1,0,,
,HVNegRelay_Control,-1,闭合继电器,,1,9,1,1,0,,
,HVPosRelay_Control,-1,闭合继电器,,1,10,1,1,0,,
,HVPreRelay_Control,0,断开继电器,,0,11,1,1,0,,
25,Receive,728.8975,Branch_SOX,18FFB1F3,00FFB1,F3,--,Extend,Data frm,08,63 64 00 C8 C8 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_SOC,49.5%,--,,63,0,8,0.5,0,,
,Branch2_SOC,50%,--,,64,8,8,0.5,0,,
,Branch1_SOH,100%,--,,C8,24,8,0.5,0,,
,Branch2_SOH,100%,--,,C8,32,8,0.5,0,,
,Branch1_SOC_Callibration_flag,0,No calibration,,0,48,1,1,0,,
,Branch2_SOC_Callibration_flag,0,No calibration,,0,49,1,1,0,,
,Crash_PWM_Duty_Cycle,0%,--,,0,56,8,0.5,0,,
26,Receive,728.9056,BMS_Pack_Branch1cell_Temperature,18FFF1F3,00FFF1,F3,--,Extend,Data frm,08,D1 26 79 32 9F CF A7 13 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Max_temperature,41DegC,--,,51,0,7,1,-40,,
,Branch1_Min_temperature,37DegC,--,,4D,7,7,1,-40,,
,Branch1_MuxTemp_Counter,1Counter,--,,1,16,3,1,0,,
,BMS_Temp_Sensor_1,39DegC,--,,4F,19,7,1,-40,,
,BMS_Temp_Sensor_2,36DegC,--,,4C,26,7,1,-40,,
,BMS_Temp_Sensor_3,39DegC,--,,4F,33,7,1,-40,,
,BMS_Temp_Sensor_4,39DegC,--,,4F,40,7,1,-40,,
,BMS_Temp_Sensor_5,39DegC,--,,4F,47,7,1,-40,,
,BMS_Temp_Sensor_6,38DegC,--,,4E,54,7,1,-40,,
27,Receive,728.9059,BMS_Pack_Branch2cell_Temperature,18FFF4F3,00FFF4,F3,--,Extend,Data frm,08,D0 26 79 36 9F 4F A8 13 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch2_Max_temperature,40DegC,--,,50,0,7,1,-40,,
,Branch2_Min_temperature,37DegC,--,,4D,7,7,1,-40,,
,Branch2_MuxTemp_Counter,1Counter,--,,1,16,3,1,0,,
,BMS_Temp_Sensor_1,39DegC,--,,4F,19,7,1,-40,,
,BMS_Temp_Sensor_2,37DegC,--,,4D,26,7,1,-40,,
,BMS_Temp_Sensor_3,39DegC,--,,4F,33,7,1,-40,,
,BMS_Temp_Sensor_4,39DegC,--,,4F,40,7,1,-40,,
,BMS_Temp_Sensor_5,40DegC,--,,50,47,7,1,-40,,
